Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
The Last Castle;2001;60000000;18208100;131;70;66666;867;3;2.538;20541700
The Last Days on Mars;2013;10600000;24100;98;55;33703;593;9;1.18;261400
The Last Dragon;1985;10000000;33000000;109;69;12056;628;2;1.911;33000000
The Last Emperor;1987;25000000;43985000;89;51;67;568;3;2.817;44005000
The Last Exorcism;2010;1800000;41034400;87;56;46452;547;10;2.011;70165900
The Last House on the Left;2009;15000000;32752200;84;60;30396;650;2;1.692;46526200
The Last King of Scotland;2006;6000000;17606700;123;77;167690;653;2;1.838;49155400
The Last of the Mohicans;1992;40000000;75505900;73;67;1045;571;1;1.226;75505900
The Last Samurai;2003;140000000;111110600;90;48;212;719;4;1.391;456810600
The Last Shot;2004;40000000;463700;92;39;7;296;4;2.027;463700
The Last Sin Eater;2007;2200000;388400;117;57;1715;156;3;4.487;388400
The Last Song;2010;20000000;62950400;94;75;43;802;5;2.619;92678900
The Last Temptation of Christ;1988;7000000;8373600;164;76;47497;790;5;3.924;8373600
The Last Time I Committed Suicide;1997;4000000;12800;92;57;1948;426;2;3.052;12800
The Lawnmower Man;1992;10000000;32100800;108;55;32253;689;2;2.758;32100800
The Lazarus Effect;2015;5000000;25801600;83;52;38656;494;2;2.024;35341800
The League of Extraordinary Gentlemen;2003;78000000;66465200;110;58;159624;555;8;1.261;179265200
The Legend of Bagger Vance;2000;60000000;30695200;126;67;51308;536;4;2.799;39235500
The Legend of Hercules;2014;70000000;18848500;99;42;50878;735;2;4.898;58953300
The Legend of Tarzan;2016;180000000;126643100;110;62;153572;884;1;1.923;349143100
The Legend of the Lone Ranger;1981;18000000;13400000;98;51;1685;80;4;3.75;13400000
The Legend of Zorro;2005;80000000;45575300;129;59;87694;745;2;3.893;141475300
The Lego Batman Movie;2017;80000000;175750400;104;73;120744;668;11;3.593;310941000
The Lego Ninjago Movie;2017;70000000;59281600;101;60;20052;849;15;1.413;122780200
The Libertine;2005;22000000;4835100;92;53;520;633;2;3.16;9448600
The Life Aquatic with Steve Zissou;2004;50000000;24006700;119;73;168803;490;8;2.041;34806700
The Life of David Gale;2003;50000000;19694600;130;76;103126;684;3;2.339;28920200
The Light Between Oceans;2016;20000000;12546000;133;72;47732;609;1;2.135;19450800
The Limey;1999;10000000;3193100;89;70;27951;610;4;3.279;6030000
The Lincoln Lawyer;2011;40000000;58009200;118;73;199279;584;10;2.055;87145100
The Lion King;1994;79300000;422780100;88;85;869528;640;8;2.5;987451400
The Little Prince;2016;77500000;1311200;88;65;3098;210;2;4.762;103529500
The Little Vampire;2000;22000000;13556000;95;57;9011;479;3;3.34;13556000
The Living Daylights;1987;40000000;51185000;130;67;82333;683;4;1.171;191200000
The Lizzie McGuire Movie;2003;15000000;42734500;94;55;33666;609;1;1.806;55534500
The Lobster;2016;4500000;9196300;119;71;190701;729;3;7.956;18053900
The Lone Ranger;2013;275000000;89302100;264;67;167;130;2;0;260002100
The Long Kiss Goodnight;1996;65000000;33447600;121;68;68493;786;5;5.471;33447600
The Long Riders;1980;10000000;15198900;100;70;9084;617;9;1.783;15198900
The Longest Day;1962;10000000;39100000;178;78;49811;292;9;3.425;50100000
The Longest Ride;2015;34000000;37446100;123;71;71759;915;2;2.732;63802900
The Longest Yard;2005;82000000;158119500;121;71;15848;679;3;1.767;191558500
The Longshots;2008;23000000;11511300;94;53;3648;379;4;2.375;11778400
The Lord of the Rings: The Fellowship of the Ring;2001;109000000;315544800;178;88;1545758;685;9;2.336;887211000
The Lord of the Rings: The Return of the King;2003;94000000;377845900;201;89;1530504;905;11;0.995;1141403300
The Lord of the Rings: The Two Towers;2002;94000000;342549000;179;87;1384330;612;8;2.451;934699600
The Lords of Salem;2013;1500000;1165900;101;51;26033;670;12;1.94;1541100
The Losers;2010;25000000;23591400;95;54;403;614;7;1.954;29863800
The Lost Boys;1987;8500000;32222600;97;73;114664;778;6;1.028;32222600
The Lost City;2006;9600000;2484200;80;44;49;751;3;2.53;5256800
The Lost Skeleton of Cadavra;2004;100000;110500;90;70;4545;711;3;1.969;110500
The Lost Weekend;1945;1250000;11000000;101;79;31175;877;2;2.053;11000000
The Lost World: Jurassic Park;1997;75000000;229086700;129;66;353283;719;5;1.113;618639000
The Love Guru;2008;62000000;32235800;87;38;48448;619;4;2.1;40159000
The Lovely Bones;2009;95000000;44114200;135;67;147838;679;4;3.093;94894400
The Lovers;2015;35000000;0;87;66;5;319;7;3.762;11100
The Lucky One;2012;25000000;60457100;101;65;96004;717;4;2.371;96633800
The Lucky Ones;2008;14000000;267000;78;70;18;659;3;2.428;267000
The Lunchbox;2014;1700000;4231500;104;78;43750;490;3;1.837;12231500
The Magnificent Seven;2016;90000000;93432700;128;77;82284;862;8;1.508;162526200
The Majestic;2001;72000000;27796000;152;69;50282;705;3;2.128;37306300
The Man;2005;20000000;8330700;93;71;287;634;3;5.363;10393700
The Man From Snowy River;1982;5000000;20659400;102;73;7336;570;8;1.754;20659400
The Man From U.N.C.L.E.;2015;75000000;45445100;116;73;246384;676;7;0.296;105445100
The Man in the Iron Mask;1998;35000000;56968200;113;71;1362;437;3;2.06;56968200
The Man Who Knew Too Little;1997;20000000;13801800;94;67;28459;677;3;2.216;13801800
The Man Who Shot Liberty Valance;1962;3200000;8000000;123;81;63855;740;9;2.973;8000000
The Man with the Golden Gun;1974;7000000;21000000;125;68;88326;672;5;5.655;97600000
The Man with the Iron Fists;2012;15000000;15634100;95;54;58811;764;7;0.916;22019000
The Manchurian Candidate;2004;80000000;65948700;126;79;68319;757;8;2.114;96148700
The Marine;2006;15000000;18844800;92;47;31156;633;3;2.37;22165600
The Martian;2015;108000000;228433700;144;80;700039;745;1;2.013;663851900
The Mask;1994;18000000;119920100;50;62;8;719;7;1.808;351620100
The Mask of Zorro;1998;65000000;93828700;136;67;159125;736;3;2.853;233700000
The Master;2012;37500000;16247200;92;58;2358;487;4;3.901;58792000
The Master of Disguise;2002;16000000;40363500;80;33;21062;296;3;6.081;40363500
The Matador;2005;10000000;12589300;96;67;42861;539;4;2.783;17300800
The Matrix;1999;65000000;171479900;136;87;1550779;652;5;4.141;463517400
The Matrix Reloaded;2003;150000000;281553700;138;72;487451;819;4;2.442;738576900
The Matrix Revolutions;2003;150000000;139270900;129;67;423240;687;4;1.31;427300300
The Maze Runner;2014;34000000;102427900;113;68;394017;769;2;1.43;348319900
The Mechanic;2011;42500000;29121500;100;69;11515;554;2;2.708;76347400
The Medallion;2003;41000000;22109000;88;53;37006;534;3;1.311;22109000
The Men Who Stare at Goats;2009;24000000;32428200;94;62;122821;704;4;1.563;67348200
The Messenger;2009;6500000;1109700;98;62;38;80;5;3.75;1745000
The Messenger: The Story of Joan of Arc;1999;50000000;14271300;158;64;61821;644;4;2.019;14271300
The Messengers;2007;16000000;35374800;90;54;36973;841;3;3.092;53774800
The Mexican;2001;40000000;66808600;123;61;98564;702;3;5.556;145238300
The Mighty;1998;100000;2652200;75;69;24;845;7;1.539;6121600
The Mighty Ducks;1992;10000000;50752300;100;65;54072;765;4;1.699;50752300
The Mirror Has Two Faces;1996;42000000;41267500;126;66;14209;454;7;5.286;41267500
The Misfits;1961;4000000;8200000;125;73;16020;903;3;2.547;8200000
The Missing;2003;65000000;26900300;92;52;43;340;4;3.235;38253400
The Mist;2007;13000000;25593800;126;71;265739;917;4;3.163;57189400
The Molly Maguires;1970;11000000;2200000;124;69;3075;131;2;2.29;2200000
The Monuments Men;2014;70000000;78031600;118;61;119096;623;2;2.408;158702700
The Mortal Instruments: City of Bones;2013;60000000;31165400;130;59;123252;679;12;1.767;75965600
The Mothman Prophecies;2002;42000000;35228700;119;64;72184;646;3;1.548;56438600
The Mummy;1999;80000000;155385500;73;71;21378;310;3;2.581;416385500
The Mummy Returns;2001;98000000;202007600;130;63;287804;685;5;1.168;435040400
The Mummy: Tomb of the Dragon Emperor;2008;175000000;102491800;112;52;143583;652;4;1.994;405760200
The Muppet Christmas Carol;1992;12000000;27281500;85;77;43313;593;1;2.024;27492900
The Muppet Movie;1979;8000000;76657000;95;76;30077;869;3;1.956;76657000
The Muppets;2011;45000000;88625900;103;71;83627;699;4;3.004;160971900
The Muse;1999;15000000;11615000;97;57;10118;543;4;2.578;11615000
The Musketeer;2001;40000000;27053800;104;48;13674;555;5;1.622;27053800
The Naked Gun 2Â?: The Smell of Fear;1991;23000000;86930400;85;69;98263;638;5;1.567;86930400
The Namesake;2007;8500000;13610500;122;75;18206;497;2;3.823;20288800
The Nativity Story;2006;35000000;37629800;101;68;9412;610;2;1.312;46309600
The Neon Demon;2016;7500000;1333100;117;62;75420;614;2;2.443;3559800
The Net;1995;22000000;50621700;106;58;86;624;3;2.083;110521700
The New Guy;2002;13000000;28972200;88;59;32381;669;3;2.691;28972200
The New World;2005;30000000;12712100;135;67;79392;837;4;2.867;26184400
The Newton Boys;1998;27000000;10341100;122;61;9892;358;4;1.397;10341100
The Next Best Thing;2000;25000000;14983600;108;46;10404;49;2;18.367;24355800
The Next Three Days;2010;30000000;21148700;133;74;171251;435;5;1.149;67255900
The Night Before;2015;25000000;43035700;90;64;2337;206;2;1.456;52427300
The Night Listener;2006;4000000;7836400;91;59;14226;616;4;2.922;10771000
The Ninth Gate;2000;38000000;18653700;133;67;155890;622;3;1.286;58394300
The Notebook;2004;30000000;81001800;123;78;485298;576;5;5.035;116025000
The November Man;2014;15000000;25018100;108;63;60145;670;10;1.343;34820300
The Number 23;2007;32000000;35193200;98;64;186413;464;2;1.724;77593200
The Nun's Story;1959;3500000;12800000;149;76;8675;483;5;0.828;12800000
The Nut Job;2014;30000000;64251500;85;57;25052;701;2;1.569;122530000
The Nut Job 2: Nutty by Nature;2017;40000000;28370500;91;54;5088;724;15;2.901;58011000
The Nutty Professor;1996;55000000;128814000;107;67;14473;356;2;3.652;273814000
The Object of my Affection;1998;15000000;29145900;111;60;17857;595;5;5.882;29145900
The Odd Life of Timothy Green;2012;40000000;51853500;105;66;43255;492;17;2.846;55249200
The Oh in Ohio;2006;5000000;418700;88;55;5869;50;4;8;648200
The Omega Code;1999;7200000;12610600;100;36;4923;1229;2;1.058;12678300
The Omen;2006;25000000;54607400;111;75;100373;760;3;0.79;119295600
The One;2001;49000000;43905700;87;59;86147;577;3;1.906;72689100
The Oogieloves in the BIG Balloon Adventure;2012;20000000;1065900;88;20;14756;247;7;2.834;1065900
The Opposite Sex;2015;3300000;0;117;61;1226;72;4;2.778;40300
The Order;2003;35000000;7659700;89;46;7507;1159;3;1.553;11559700
The Other Boleyn Girl;2008;40000000;26815000;115;67;98394;848;3;1.533;78270000
The Other Guys;2010;100000000;119220000;107;66;226123;711;9;1.969;170936500
The Other Woman;2014;40000000;83911200;81;65;147;98;2;8.163;195111200
The Others;2001;17000000;96522700;127;74;26;920;3;3.587;207765100
The Out-of-Towners;1999;40000000;28544100;101;71;6877;442;2;3.167;28544100
The Outsiders;1983;10000000;25697600;95;78;470;493;7;1.42;25697600
The Oxford Murders;2010;10000000;4800;104;61;26288;975;2;2.256;17704100
The Pacifier;2005;56000000;113006900;95;56;82094;855;3;0.936;198006900
The Painted Veil;2006;19400000;8060500;85;66;1193;512;3;2.93;15118800
The Pallbearer;1996;8000000;5656400;98;49;7471;1000;3;2;5656400
The Paperboy;2012;12500000;677200;107;58;34353;1000;9;4.9;3522200
The Passion of the Christ;2004;25000000;370782900;127;71;203531;938;2;1.812;622341900
The Patriot;2000;110000000;113330300;50;74;8;181;2;4.972;215300000
The Peanuts Movie;2015;99000000;130178400;88;71;39832;672;3;1.935;250474000
The Pelican Brief;1993;45000000;100768100;141;66;71258;529;8;2.268;187995900
The Perfect Game;2010;12500000;1089400;118;70;3117;215;10;0.465;3931400
The Perfect Host;2011;1000000;48800;93;68;23645;701;6;2.568;51600
The Perfect Man;2005;10000000;16535000;69;62;16;779;3;4.236;19535000
The Perfect Match;2016;5000000;9669500;92;55;83;91;1;7.692;9669500
The Perfect Storm;2000;120000000;182618400;130;64;148985;366;7;1.366;328711400
The Perks of Being a Wallflower;2012;13000000;17742900;103;80;429495;737;8;5.292;33069300
The Phantom;1996;45000000;17220600;62;44;258;123;2;1.626;17220600
The Phantom of the Opera;2004;55000000;51225800;93;76;15457;1421;3;2.674;153878500
The Pianist;2002;35000000;32519300;112;47;119;605;2;6.612;111854200
The Piano;1993;7000000;40157900;121;76;74096;843;4;2.373;40157900
The Pink Panther;2006;80000000;82226500;115;71;45307;596;4;2.181;158926500
The Pirate;1948;3700000;2956000;102;70;4042;562;2;5.694;2956000
The Pirates Who Don't Do Anything: A VeggieTales Movie;2008;15000000;12981300;85;57;2441;396;3;1.515;13248400
The Player;1992;8000000;21706100;124;75;50477;710;7;2.535;28876700
The Players Club;1998;5000000;23047900;104;58;5925;1341;2;2.685;23047900
The Pledge;2001;45000000;19719900;124;68;50814;563;3;1.954;29406100
The Polar Express;2004;170000000;186493600;100;66;158293;711;2;0.703;310634200
The Possession;2012;14000000;49130600;92;59;54369;651;6;0.614;82925100
The Postman;1997;80000000;17650700;107;69;219;503;4;5.765;20841100
The Postman Always Rings Twice;1981;12000000;12200000;113;75;17151;505;2;3.366;44200000
The Prestige;2006;40000000;53089900;130;85;1092959;579;6;1.554;104407400
The Prince of Egypt;1998;60000000;101413200;99;71;110381;653;6;1.072;218613200
The Prince of Tides;1991;30000000;74787600;132;67;14921;653;6;3.216;74787600
The Princess and the Frog;2009;105000000;104400900;97;71;113062;661;8;4.387;270997400
The Princess Bride;1987;15000000;30857000;98;81;367756;615;10;1.951;30858500
The Princess Diaries;2001;30000000;108244800;111;63;118792;980;7;2.143;165334800
The Princess Diaries 2: Royal Engagement;2004;45000000;95149400;113;58;69145;909;5;3.08;122071400
The Prisoner of Zenda;1979;12500000;7000000;125;67;417;574;1;1.568;7000000
The Promise;2017;90000000;8224300;97;67;638;660;2;2.424;10524100
The Proposal;2009;40000000;163958000;91;54;653;676;5;2.367;314709700
The Proposition;2006;20000000;1903400;93;46;198;961;3;1.769;5313600
The Punisher;2004;33000000;33664400;89;57;20409;551;1;2.178;54533800
The Purge: Anarchy;2014;9000000;71562600;103;64;128660;730;2;1.644;111534900
The Purge: Election Year;2016;10000000;79042400;108;60;82592;729;1;0.96;118557100
The Pursuit of D.B. Cooper;1981;12000000;2104200;100;56;982;311;3;1.929;2104200
The Pursuit of Happyness;2006;55000000;162586000;117;80;414204;672;2;3.423;307325600
The Queen;2006;15000000;56441700;68;73;254;405;2;1.235;128885900
The Quick and the Dead;1995;32000000;18552500;92;60;104;1031;4;1.455;18552500
The Quiet American;2002;20000000;12987600;120;67;1538;92;2;4.348;26348200
The Rage: Carrie 2;1999;21000000;17760200;104;47;14824;717;4;2.511;17760200
The Railway Man;2014;18000000;4438400;116;71;35167;469;5;2.772;23910200
The Rainmaker;1997;40000000;45916800;50;69;7;174;3;1.724;45916800
The Raven;2012;26000000;16008300;57;55;73;499;1;2.204;30601800
The Reader;2008;32500000;34194400;124;76;220525;802;4;2.494;112964900
The Reaping;2007;40000000;25126200;99;56;41016;869;4;1.956;62226200
The Relic;1997;60000000;33956600;110;58;23021;673;4;1.189;33956600
The Reluctant Fundamentalist;2013;15000000;528700;130;69;12735;868;6;2.535;528700
The Remains of the Day;1993;15000000;22955000;134;78;59456;417;7;4.317;63955000
The Replacement Killers;1998;30000000;19035700;87;62;25923;672;3;2.083;19035700
The Return;2004;15000000;501800;70;71;112;427;3;2.576;5953900
The Return of the Living Dead;1985;4000000;14237900;91;73;50644;702;1;2.137;14237900
The Return of the Pink Panther;1975;5000000;41833300;113;71;23217;577;2;2.08;41833300
The Revenant;2015;135000000;183637900;117;63;10334;467;1;0.428;532950500
The Right Stuff;1983;27000000;21500000;193;78;53235;754;7;2.785;21500000
The Ring;2002;48000000;129094000;116;62;2908;573;3;2.094;248218500
The Rite;2011;37000000;33047600;114;60;86862;724;9;2.348;97144000
The River Wild;1994;45000000;46815000;111;64;38967;673;5;2.526;94215000
The Road;2009;25000000;8114300;107;56;57;430;4;6.047;29206700
The Road to El Dorado;2000;95000000;50802700;89;69;77203;621;3;1.449;65700000
The Robe;1953;5000000;36000000;135;67;8474;1036;5;2.51;36000000
The Rock;1996;75000000;134069500;136;74;297335;646;3;3.715;336069500
The Rocker;2008;15000000;6409500;102;62;35669;519;6;1.734;8767300
The Rocky Horror Picture Show;1975;1200000;1054800;100;74;124281;633;3;2.054;1248900
The Rookie;2002;22000000;75600100;84;42;98;175;3;1.143;80491500
The Roommate;2011;16000000;37300100;91;48;33779;649;7;2.928;52545700
The Rose;1979;8500000;29200000;125;70;7415;406;3;3.941;29200000
The Royal Tenenbaums;2001;28000000;52353600;110;76;249881;703;8;1.992;71430900
The Rugrats Movie;1998;28000000;100494700;79;59;17033;644;3;0.621;140894700
The Ruins;2008;25000000;17432800;90;58;66934;986;5;1.42;22910600
The Rules of Attraction;2002;4000000;6525800;110;67;48047;649;4;4.623;11799100
The Rum Diary;2011;45000000;13109800;119;62;95591;615;12;3.415;21544700
The Runaways;2010;9500000;3573700;106;65;44276;529;5;2.647;5278600
The Rundown;2003;85000000;47641700;104;67;97040;589;4;1.019;80831900
The Running Man;1987;30000000;38122000;103;65;940;702;3;1.567;38122000
The Saint;1997;90000000;61363300;116;62;59102;692;2;1.301;169400000
The Salton Sea;2002;18000000;676700;103;71;28776;586;3;3.072;676700
The Santa Clause;1994;22000000;144833400;97;64;86643;512;5;1.953;189800000
The Santa Clause 2;2002;65000000;139225900;104;56;45769;672;3;2.232;172825900
The Savages;2007;9000000;6623100;114;71;34724;326;2;4.601;10642000
The Scarlet Letter;1995;50000000;10359000;115;77;1431;72;3;1.389;10359000
The Score;2001;68000000;71069900;117;70;98;477;4;1.048;113542100
The Scorpion King;2002;60000000;90580000;92;55;124755;834;5;2.158;165890600
The Second Best Exotic Marigold Hotel;2015;10000000;33078300;122;65;29557;305;2;3.607;90384300
The Secret Life of Bees;2008;11000000;37780500;114;73;22980;1039;7;1.251;39994300
The Secret Life of Pets;2016;75000000;368384300;87;65;169765;732;1;2.596;875952800
The Secret Life of Walter Mitty;2013;91000000;58236800;110;70;5259;246;2;4.065;188281300
The Sentinel;2006;60000000;36280700;92;64;8387;401;3;0.998;78080700
The Sessions;2012;1000000;6002500;95;72;40156;242;13;5.785;11495200
The Shadow;1994;40000000;31835600;74;61;97;652;3;2.147;31835600
The Shaggy Dog;2006;60000000;61123600;104;65;3903;767;2;1.695;87123600
The Shallows;2016;13000000;55121600;86;63;110925;648;1;0.617;118888000
The Shape of Water;2017;19500000;59213100;70;82;26;621;11;2.093;128185500
The Shawshank Redemption;1994;25000000;28241500;142;93;2155026;698;7;2.436;28307100
The Shining;1980;19000000;44017400;146;84;809115;781;6;2.177;44728200
The Shipping News;2001;35000000;11405800;111;67;31051;441;4;2.948;24405800
The Siege;1998;70000000;40934200;126;58;61;712;4;1.685;116625800
The Signal;2014;4000000;600900;103;61;19783;833;2;1.321;2665300
The Silence of the Lambs;1991;20000000;130726700;118;86;1167081;753;9;2.922;275726700
The Simpsons Movie;2007;72500000;183135000;87;73;296373;659;4;2.124;527071000
The Singing Detective;2003;8000000;336500;109;55;7898;34;4;0;524700
The Singles Ward;2002;500000;1250800;102;64;1256;116;3;1.724;1250800
The Sisterhood of the Traveling Pants;2005;25000000;39053100;119;65;51673;934;4;2.248;41560100
The Sisterhood of the Traveling Pants 2;2008;27000000;44090000;119;62;25855;781;4;2.689;44270100
The Sitter;2011;25000000;30542600;81;57;66132;1000;5;3;38749400
The Sixth Sense;1999;40000000;293506300;70;70;76;665;5;2.556;672806300
The Skeleton Key;2005;40000000;47907700;104;65;101357;676;1;1.479;92256900
The Skeleton Twins;2014;1000000;5284300;93;68;37485;671;2;2.981;5797200
The Skulls;2000;15000000;35007200;106;56;29861;910;2;2.418;35007200
The Smurfs;2011;110000000;142614200;103;54;78922;769;24;1.17;563749300
The Snowman;2017;35000000;6670800;119;51;51190;771;7;3.113;43232800
The Social Network;2010;40000000;96962700;120;77;578958;688;10;1.163;224922100
The Soloist;2009;60000000;31853600;82;61;7;565;2;2.655;38522500
The Son of No One;2011;15000000;30700;90;51;15918;509;6;3.34;1148600
The Sorcerer's Apprentice;2010;160000000;63151000;73;76;863;865;5;2.081;217986300
The Sound of Music;1965;8200000;163214300;172;80;186565;793;5;2.774;286214300
The Spanish Prisoner;1998;10000000;10162000;110;72;20849;726;3;1.377;13835100
The Specialist;1994;45000000;57362600;93;43;124;683;5;2.05;57362600
The Specials;2000;1000000;13000;82;58;2119;575;3;1.044;13000
The Spiderwick Chronicles;2008;92500000;71195100;96;65;83021;1109;4;1.082;162839700
The Spirit;2008;60000000;19806200;103;48;58090;641;6;2.34;39006200
The SpongeBob Movie: Sponge Out of Water;2015;74000000;162994000;92;60;44859;708;2;1.412;311594000
The Spy Next Door;2010;28000000;24307100;94;54;37533;423;7;2.837;46752900
The Spy Who Loved Me;1977;14000000;46800000;125;71;91089;527;3;1.328;185400000
The Square;2010;1900000;406200;100;75;13;660;3;2.424;740900
The Squid and the Whale;2005;1500000;7372700;81;73;70592;484;4;2.686;11191400
The Star;2017;20000000;40848000;89;70;2982;413;2;2.663;62005400
The Statement;2003;27000000;765600;120;62;4694;348;3;4.023;1545100
The Station Agent;2003;500000;5801600;89;76;64847;549;4;4.189;9470200
The Stepfather;2009;20000000;29062600;89;68;11914;584;3;2.397;29227600
The Stepford Wives;2004;100000000;59475600;115;69;14996;542;3;2.214;96222000
The Sting;1973;5500000;159616300;129;83;225300;679;12;2.946;159616300
The Story of Us;1999;50000000;27100000;95;60;20464;99;2;5.051;27100000
The Straight Story;1999;10000000;6197900;112;80;75917;846;3;2.246;6197900
The Strangers;2008;9000000;52597600;86;62;112151;729;2;2.881;83051700
The Sum of All Fears;2002;68000000;118471300;124;64;98197;482;3;1.867;193500000
The Sweeney;2013;4500000;26300;112;61;18255;489;4;1.432;8000400
The Sweet Hereafter;1997;5000000;4306700;112;75;30398;199;7;4.02;7951200
The Sweetest Thing;2002;43000000;24430300;84;52;52648;620;3;4.032;63078800
The Switch;2010;19000000;27758500;101;61;91971;520;5;4.423;49858500
The Taking of Pelham 123;2009;110000000;65452300;106;64;176425;883;4;2.039;152364400
The Tale of Despereaux;2008;60000000;50877100;93;61;34419;957;4;1.881;90482300
The Talented Mr. Ripley;1999;40000000;81292100;139;74;165487;630;8;4.127;128792100
The Tempest;2010;20000000;277900;95;64;896;540;2;0.926;277900
The Ten;2007;5250000;769700;96;50;16033;559;3;3.399;786700
The Ten Commandments;1956;13500000;80000000;136;68;1768;332;1;2.41;80000000
The Terminal;2004;75000000;77074000;128;73;373679;484;2;2.066;218674000
The Terminator;1984;6400000;38019000;107;80;747935;490;5;2.857;78019000
The Terrorist;2000;25000;195000;95;70;1872;68;1;8.824;195000
The Texas Chainsaw Massacre;2003;9000000;80571700;98;62;124826;732;6;2.459;107967300
The Texas Chainsaw Massacre 2;1986;4700000;8025900;101;56;25516;569;1;0.879;8025900
The Texas Chainsaw Massacre: The Beginning;2006;16000000;39517800;91;58;65163;624;2;2.244;50517800
The Theory of Everything;2014;15000000;35893500;123;77;369531;710;3;2.817;123327700
The Thief and the Cobbler;1995;24000000;669300;90;71;3260;1022;0;1.761;669300
The Thing;2011;38000000;16999900;109;81;340979;613;3;3.263;27573100
The Thirteenth Floor;1999;16000000;11810900;100;71;62857;732;3;0.956;11810900
The Thomas Crown Affair;1999;48000000;69304300;102;70;20752;495;2;2.626;124304300
The Three Musketeers;2011;90000000;20377900;63;58;25;611;3;2.128;139877900
The Three Stooges;2012;30000000;44338200;92;50;28867;1599;16;1.751;54052200
The Tigger Movie;2000;20000000;45542400;77;63;16045;903;3;1.883;96147700
The Time Machine;2002;80000000;56684800;103;76;33696;817;3;4.162;98983600
The Time Traveler's Wife;2009;39000000;63414800;107;71;134516;553;2;4.883;102332100
The Touch;2004;20000000;0;115;64;1169;452;3;2.876;5918700
The Tourist;2010;100000000;67631200;103;60;210287;718;6;2.368;278731400
The Town;2010;37000000;92186300;125;75;328246;741;8;1.754;152566900
The Train;1965;5800000;6800000;133;78;12926;533;3;2.251;6800000
The Transporter;2002;21000000;25296400;92;68;273192;717;3;2.929;43928900
The Tree of Life;2011;35000000;13305700;75;68;36;847;3;2.361;61721800
The Trouble with Harry;1955;1200000;7000000;99;71;31039;349;3;2.579;7000000
The Truman Show;1998;60000000;125618200;103;81;859556;676;5;8.136;264118200
The Tuxedo;2002;60000000;50586000;98;54;74572;542;3;2.952;104429600
The Twilight Saga: Breaking Dawn, Part 1;2011;127500000;281287100;117;49;211672;532;22;2.82;689420100
The Twilight Saga: Eclipse;2010;68000000;300531800;124;50;215187;746;18;2.413;706102800
The Ugly Truth;2009;38000000;88915200;96;64;193259;514;2;2.529;205298900
The Unborn;2009;16000000;42670400;83;43;934;470;8;2.128;78208800
The Untouchables;1987;25000000;76270500;119;79;260824;677;7;1.477;76270500
The Upside of Anger;2005;12000000;18762000;118;68;20632;380;6;3.947;28915800
The Usual Suspects;1995;6000000;23341600;106;85;926834;618;9;1.618;34449400
The Vatican Tapes;2015;13000000;1784800;91;50;15167;478;2;2.511;14999600
The Verdict;1982;16000000;53977300;86;72;1620;94;2;6.383;53977300
The Village;2004;71683000;114197500;98;76;30;754;5;1.459;257641600
The Virgin Suicides;2000;6000000;4859500;97;72;136488;583;5;2.573;10619800
The Visit;2015;5000000;65206100;110;75;330;111;2;4.505;98689300
The Visitor;2008;4000000;9427000;108;52;2660;570;3;1.404;19174800
The Vow;2012;30000000;125014000;116;49;64;770;5;2.468;197618200
The Wackness;2008;6000000;2077000;99;70;29291;673;6;2.972;3330000
The Warlords;2010;40000000;129100;126;70;25097;517;2;1.934;38899800
The Wash;2001;4000000;10097100;94;74;69;308;2;1.623;10097100
The Watch;2012;55000000;34353000;102;57;117184;663;10;2.413;67130000
The Watcher;2000;33000000;28946600;97;53;24579;532;3;5.639;47267800
The Water Diviner;2015;22500000;4200100;111;70;67628;587;6;1.363;30864600
The Waterboy;1998;23000000;161491600;90;61;140399;742;4;1.752;190191600
The Watermelon Woman;1997;300000;42700;90;67;878;529;3;6.427;42700
The Way of the Gun;2000;9000000;6047900;119;67;30539;621;2;0.966;13061900
The Weather Man;2005;20000000;12482800;102;65;75321;439;2;3.872;15467000
The Wedding Date;2005;15000000;31727000;90;62;45958;480;2;5;47175000
The Wedding Planner;2001;28000000;60400900;103;53;72021;1111;3;3.51;94728500
The Wedding Ringer;2015;23000000;64460200;101;66;67734;960;3;4.271;80171600
The White Countess;2005;16000000;1670000;135;66;5908;209;2;1.435;2814600
The Whole Nine Yards;2000;24000000;57262500;98;67;104499;1757;7;2.277;85527900
The Whole Ten Yards;2004;30000000;16324000;98;55;51941;716;5;2.095;26324000
The Wicked Lady;1983;8000000;589300;104;68;1168;677;2;2.807;589300
The Wild;2006;80000000;37384000;87;54;48;862;2;1.624;99010700
The Wild Bunch;1969;6000000;509400;135;79;73366;680;8;1.618;509400
The Wild Thornberrys Movie;2002;25000000;40108700;85;56;13580;617;3;0.81;60694700
The Wind That Shakes the Barley;2007;8300000;1829100;127;75;43133;748;2;2.54;25670200
The Witch;2016;3500000;25138700;90;67;69;665;2;1.504;40454500
The Wiz;1978;24000000;13000000;134;54;12913;989;4;2.932;13000000
The Wizard of Oz;1939;2777000;33711600;81;51;1362;801;8;1.373;33755000
The Wolfman;2010;150000000;62189900;103;58;99237;682;4;3.079;142634400
The Wolverine;2013;115000000;132556900;126;67;408978;646;11;2.012;416456900
The Woman in Black;2012;15000000;54333300;95;64;167647;671;4;3.13;128955900
The Women;2008;16000000;26902100;133;78;11766;849;7;2.945;50103800
